Designator,Mid X,Mid Y,Rotation,Layer
C1_4,79.1106,-71.1474,270,top
C1_3,58.2406,-71.1474,270,top
C1_2,16.5006,-71.1474,270,top
C1,37.3706,-71.1474,270,top
C10_4,17.288,-26.213,180,top
C10_3,59.028,-26.213,180,top
C10_2,38.158,-26.213,180,top
C10,79.898,-26.213,180,top
C11_4,63.0536,-60.7824,180,top
C11_3,83.9236,-60.7824,180,top
C11_2,21.3136,-60.7824,180,top
C11,42.1836,-60.7824,180,top
C12_4,71.516,-40.183,270,top
C12_3,50.646,-40.183,270,top
C12_2,29.776,-40.183,270,top
C12,8.906,-40.183,270,top
C13_4,63.981,-24.956,270,top
C13_3,22.241,-24.956,270,top
C13_2,84.851,-24.956,270,top
C13,43.111,-24.956,270,top
C14_4,41.206,-24.943,90,top
C14_3,62.076,-24.943,90,top
C14_2,82.946,-24.943,90,top
C14,20.336,-24.943,90,top
C16_4,16.64,-32.309,0,top
C16_3,37.51,-32.309,0,top
C16_2,79.25,-32.309,0,top
C16,58.38,-32.309,0,top
C17_4,65.759,-38.926,270,top
C17_3,24.019,-38.926,270,top
C17_2,44.889,-38.926,270,top
C17,86.629,-38.926,270,top
C18_4,65.505,-43.345,270,top
C18_3,86.375,-43.345,270,top
C18_2,44.635,-43.345,270,top
C18,23.765,-43.345,270,top
C19_4,81.295,-2.4516,90,top
C19_3,18.685,-2.4516,90,top
C19_2,60.425,-2.4516,90,top
C19,39.555,-2.4516,90,top
C2_4,37.4214,-2.4516,270,top
C2_3,79.1614,-2.4516,270,top
C2_2,58.2914,-2.4516,270,top
C2,16.5514,-2.4516,270,top
C20_4,40.0394,-6.5534,180,top
C20_3,19.1694,-6.5534,180,top
C20_2,81.7794,-6.5534,180,top
C20,60.9094,-6.5534,180,top
C3_4,14.24,-2.35,90,top
C3_3,55.98,-2.35,90,top
C3_2,35.11,-2.35,90,top
C3,76.85,-2.35,90,top
C4_4,24.019,-2.07,90,top
C4_3,44.889,-2.07,90,top
C4_2,86.629,-2.07,90,top
C4,65.759,-2.07,90,top
C5_4,84.343,-53.4164,0,top
C5_3,63.473,-53.4164,0,top
C5_2,42.603,-53.4164,0,top
C5,21.733,-53.4164,0,top
C6_4,21.6822,-50.6732,180,top
C6_3,63.4222,-50.6732,180,top
C6_2,42.5522,-50.6732,180,top
C6,84.2922,-50.6732,180,top
C7_4,32.0998,-35.1284,180,top
C7_3,11.2298,-35.1284,180,top
C7_2,73.8398,-35.1284,180,top
C7,52.9698,-35.1284,180,top
C8_4,19.079,-43.485,180,top
C8_3,81.689,-43.485,180,top
C8_2,60.819,-43.485,180,top
